Power1,Power1
0,10,0.0000000000
1,11,3.1449999809
2,12,6.2899999618
3,13,9.4349994659
4,14,12.5799999237
5,15,15.7250003814
6,16,18.8699989318
7,17,22.0149993896
8,18,25.1599998474
9,19,28.3050003051
10,20,31.4500007629
11,21,34.5950012207
12,22,37.7399978637
13,23,40.8849983215
14,24,44.0299987792
15,25,47.1749992370
16,26,50.3199996948
17,27,53.4650001525
18,28,56.6100006103
19,29,59.7550010681
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
